plot_id,utm_zone,easting,northing,avg_easting,avg_northing,tree_number,forest_stand,bearing,distance,species_code,species _name,species_scientific_name,dbh,quality_class,crown_class,height,height_crown,base_tree_ht,base_crown_ht,remarks
Mak1,45,305028,3030843,305029,3030844,1,1,009,17.9,6615,Sal,Shorea robusta,15.2,1,2,16.6,11.5,,,
Mak1,45,305028,3030843,305029,3030844,2,1,010,15.4,6615,Sal,Shorea robusta,14.0,1,2,12.6,5.8,,,
Mak1,45,305028,3030843,305029,3030844,3,1,012,6.7,6615,Sal,Shorea robusta,16.5,1,1,18.3,7.5,,,
Mak1,45,305028,3030843,305029,3030844,4,1,019,18,6615,Sal,Shorea robusta,21.0,1,1,18.9,9.9,,,
Mak1,45,305028,3030843,305029,3030844,5,1,021,4.7,6615,Sal,Shorea robusta,10.7,1,2,11.9,5,,,
Mak1,45,305028,3030843,305029,3030844,6,1,026,14,6615,Sal,Shorea robusta,9.5,1,2,8.8,4.8,,,
Mak1,45,305028,3030843,305029,3030844,7,1,027,19.2,6615,Sal,Shorea robusta,14.5,1,1,16.9,9.6,,,
Mak1,45,305028,3030843,305029,3030844,8,1,029,15.9,6615,Sal,Shorea robusta,20.0,1,1,19.1,10.6,,,
Mak1,45,305028,3030843,305029,3030844,9,1,034,14.4,6615,Sal,Shorea robusta,22.8,1,1,17.5,5.9,,,
Mak1,45,305028,3030843,305029,3030844,10,1,037,20,6615,Sal,Shorea robusta,15.9,1,1,17.3,11.5,,,
Mak1,45,305028,3030843,305029,3030844,11,1,042,4.2,6615,Sal,Shorea robusta,21.0,1,1,16.3,7.3,,,
Mak1,45,305028,3030843,305029,3030844,12,1,046,7.5,6615,Sal,Shorea robusta,42.0,1,1,19.8,6.9,,,
Mak1,45,305028,3030843,305029,3030844,13,1,059,19.2,6615,Sal,Shorea robusta,20.8,1,1,19,8.8,,,
Mak1,45,305028,3030843,305029,3030844,14,1,052,13.4,6615,Sal,Shorea robusta,12.6,1,1,12.1,6.4,,,
Mak1,45,305028,3030843,305029,3030844,15,1,052,17.7,6615,Sal,Shorea robusta,11.0,1,1,11.7,6.7,,,
Mak1,45,305028,3030843,305029,3030844,16,1,062,19,6615,Sal,Shorea robusta,25.9,1,1,15,8.1,,,
Mak1,45,305028,3030843,305029,3030844,17,1,068,13.9,6615,Sal,Shorea robusta,14.5,1,1,15.7,7.7,,,
Mak1,45,305028,3030843,305029,3030844,18,1,074,19.6,6615,Sal,Shorea robusta,18.0,1,1,18.8,12.5,,,
Mak1,45,305028,3030843,305029,3030844,19,1,076,17.3,6615,Sal,Shorea robusta,18.3,1,1,16.8,7.9,,,
Mak1,45,305028,3030843,305029,3030844,20,1,079,5.3,6615,Sal,Shorea robusta,14.0,1,1,14,6.5,,,
Mak1,45,305028,3030843,305029,3030844,21,1,082,13.6,6615,Sal,Shorea robusta,18.6,1,1,16.4,10,,,
Mak1,45,305028,3030843,305029,3030844,22,1,085,10.2,6615,Sal,Shorea robusta,16.5,1,1,15.8,3.9,,,
Mak1,45,305028,3030843,305029,3030844,23,1,087,8.1,6615,Sal,Shorea robusta,15.0,1,1,17,10.4,,,
Mak1,45,305028,3030843,305029,3030844,24,1,088,3.4,6615,Sal,Shorea robusta,11.2,1,1,11.7,5.4,,,
Mak1,45,305028,3030843,305029,3030844,25,1,089,6.1,6615,Sal,Shorea robusta,10.7,1,1,11.2,4.6,,,
Mak1,45,305028,3030843,305029,3030844,26,1,093,15.6,6615,Sal,Shorea robusta,10.9,1,1,11.4,8.3,,,
Mak1,45,305028,3030843,305029,3030844,27,1,097,12.2,6615,Sal,Shorea robusta,20.3,1,1,19.3,5.7,,,
Mak1,45,305028,3030843,305029,3030844,28,1,101,19.3,6615,Sal,Shorea robusta,15.3,1,1,15.2,6.1,,,
Mak1,45,305028,3030843,305029,3030844,29,1,112,15.6,6615,Sal,Shorea robusta,9.7,2,3,9.1,5.6,,,
Mak1,45,305028,3030843,305029,3030844,30,1,114,2.1,6615,Sal,Shorea robusta,9.8,1,2,11,8.1,,,
Mak1,45,305028,3030843,305029,3030844,31,1,116,17.7,6615,Sal,Shorea robusta,10.6,1,2,14.8,7.8,,,
Mak1,45,305028,3030843,305029,3030844,32,1,117,6.5,6615,Sal,Shorea robusta,9.3,2,3,8.3,5.1,,,
Mak1,45,305028,3030843,305029,3030844,33,1,118,14.3,6615,Sal,Shorea robusta,17.0,1,1,16,9.4,,,
Mak1,45,305028,3030843,305029,3030844,34,1,124,15.3,6615,Sal,Shorea robusta,16.4,1,1,14.4,9.4,,,
Mak1,45,305028,3030843,305029,3030844,35,1,131,16.5,6615,Sal,Shorea robusta,11.9,1,2,12.4,6.6,,,
Mak1,45,305028,3030843,305029,3030844,36,1,132,19.6,6615,Sal,Shorea robusta,13.7,1,2,15.1,10.2,,,
Mak1,45,305028,3030843,305029,3030844,37,1,135,10,6615,Sal,Shorea robusta,23.2,1,1,20.3,10,,,
Mak1,45,305028,3030843,305029,3030844,38,1,140,12.9,6615,Sal,Shorea robusta,13.5,1,1,15.4,6.8,,,
Mak1,45,305028,3030843,305029,3030844,39,1,143,7.4,6615,Sal,Shorea robusta,17.3,1,1,18.5,11.9,,,
Mak1,45,305028,3030843,305029,3030844,40,1,147,9.4,6615,Sal,Shorea robusta,11.4,1,3,12.1,3.9,,,
Mak1,45,305028,3030843,305029,3030844,41,1,154,16.3,6615,Sal,Shorea robusta,13.4,1,3,13.7,8.1,,,
Mak1,45,305028,3030843,305029,3030844,42,1,155,19.5,6615,Sal,Shorea robusta,13.9,1,1,16.1,9.1,,,
Mak1,45,305028,3030843,305029,3030844,43,1,158,8,6615,Sal,Shorea robusta,14.4,1,2,14.2,10.2,,,
